time,TAMB,seno_mes,cos_mes,media_movel_3m,media_movel_12m,std_movel_3m,std_movel_12m,TARGET
1991-12-01,26.519354838709678,-2.4492935982947064e-16,1.0,24.443082437275987,23.412251664106503,1.8667896784864981,2.128631565057842,25.835483870967742
1992-01-01,25.835483870967742,0.49999999999999994,0.8660254037844387,25.420501792114695,23.47649897593446,1.354877287952778,2.19367561202559,26.06551724137931
1992-02-01,26.06551724137931,0.8660254037844386,0.5000000000000001,26.140118650352246,23.48850636509702,0.3479854922200862,2.2086183324320534,26.029032258064515
1992-03-01,26.029032258064515,1.0,6.123233995736766e-17,25.976677790137188,23.53017303176369,0.12363082386570694,2.2548460314607763,25.043333333333337
1992-04-01,25.043333333333337,0.8660254037844387,-0.4999999999999998,25.712627610925722,23.583506365097023,0.5799128477757017,2.2847468277134686,23.738709677419354
1992-05-01,23.738709677419354,0.49999999999999994,-0.8660254037844387,24.937025089605736,23.69130206402175,1.148856154123146,2.2564970507530004,23.013333333333332
1992-06-01,23.013333333333332,1.2246467991473532e-16,-1.0,23.93179211469534,23.7482465084662,1.0286814962311421,2.2274558376169318,20.96451612903226
1992-07-01,20.96451612903226,-0.4999999999999997,-0.8660254037844388,22.572186379928315,23.79125726115437,1.4387478711894077,2.1619653975904067,20.51290322580645
1992-08-01,20.51290322580645,-0.8660254037844385,-0.5000000000000004,21.49691756272402,23.7737841428748,1.3325262269856122,2.1896907933095573,21.476666666666667
1992-09-01,21.476666666666667,-1.0,-1.8369701987210297e-16,20.98469534050179,23.834061920652577,0.4821984994961547,2.107394517020877,23.05806451612903
1992-10-01,23.05806451612903,-0.8660254037844386,0.5000000000000001,21.68254480286738,23.84696514645903,1.2850100597517664,2.101643217181135,23.533333333333335
1992-11-01,23.533333333333335,-0.5000000000000004,0.8660254037844384,22.689354838709676,23.815854035347915,1.0767681106493858,2.1034415989782254,24.261290322580646
1992-12-01,24.261290322580646,-2.4492935982947064e-16,1.0,23.617562724014334,23.62768199233717,0.6060189997175246,1.9337604543382856,26.641935483870967
1993-01-01,26.641935483870967,0.49999999999999994,0.8660254037844387,24.812186379928317,23.694886293412434,1.6258741286097946,2.0291257051729885,26.521428571428572
1993-02-01,26.521428571428572,0.8660254037844386,0.5000000000000001,25.808218125960064,23.732878904249873,1.3410330721640458,2.081148968010152,26.348387096774193
1993-03-01,26.348387096774193,1.0,6.123233995736766e-17,26.503917050691243,23.75949180747568,0.14755559599896179,2.1149479946122307,25.33
1993-04-01,25.33,0.8660254037844387,-0.4999999999999998,26.066605222734253,23.783380696364564,0.6437594881686132,2.132315301394634,22.758064516129032
1993-05-01,22.758064516129032,0.49999999999999994,-0.8660254037844387,24.81215053763441,23.70166026625704,1.85033243162596,2.1528753081177543,21.066666666666666
1993-06-01,21.066666666666666,1.2246467991473532e-16,-1.0,23.0515770609319,23.539438044034814,2.146768498987548,2.2790986600774636,21.461290322580645
1993-07-01,21.461290322580645,-0.4999999999999997,-0.8660254037844388,21.76200716845878,23.580835893497184,0.8848896187308659,2.2321027067152133,20.299999999999997
1993-08-01,20.299999999999997,-0.8660254037844385,-0.5000000000000004,20.9426523297491,23.56309395801331,0.5904942592021666,2.25938453843797,21.720000000000002
1993-09-01,21.720000000000002,-1.0,-1.8369701987210297e-16,21.16043010752688,23.58337173579109,0.7562986524856887,2.239965211876534,23.870967741935484
1993-10-01,23.870967741935484,-0.8660254037844386,0.5000000000000001,21.963655913978496,23.65111367127496,1.7979095658009263,2.234920820326789,25.966666666666665
1993-11-01,25.966666666666665,-0.5000000000000004,0.8660254037844384,23.852544802867385,23.85389144905274,2.123393274444777,2.3315634501916933,26.16774193548387
1993-12-01,26.16774193548387,-2.4492935982947064e-16,1.0,25.335125448028673,24.012762416794672,1.2719772628339094,2.4249296102938427,25.693548387096776
1994-01-01,25.693548387096776,0.49999999999999994,0.8660254037844387,25.942652329749105,23.933730158730157,0.23800713564109677,2.3456082182981506,28.864285714285717
1994-02-01,28.864285714285717,0.8660254037844386,0.5000000000000001,26.90852534562212,24.128968253968253,1.7102525676224651,2.6573643315507103,25.641935483870967
1994-03-01,25.641935483870967,1.0,6.123233995736766e-17,26.733256528417822,24.070097286226318,1.8457058314396486,2.6111491278296417,24.073333333333334
1994-04-01,24.073333333333334,0.8660254037844387,-0.4999999999999998,26.193184843830007,23.965375064004096,2.4425832783714165,2.5810525010214724,23.774193548387096
1994-05-01,23.774193548387096,0.49999999999999994,-0.8660254037844387,24.496487455197137,24.050052483358936,1.003199652376801,2.5543734434039562,20.91
1994-06-01,20.91,1.2246467991473532e-16,-1.0,22.919175627240147,24.036996927803383,1.7464138050749196,2.571351852955577,20.96451612903226
1994-07-01,20.96451612903226,-0.4999999999999997,-0.8660254037844388,21.882903225806455,23.995599078341012,1.638132264286543,2.6201259898233693,20.625806451612902
1994-08-01,20.625806451612902,-0.8660254037844385,-0.5000000000000004,20.833440860215052,24.022749615975425,0.18187093722707104,2.5797263104836405,21.9
1994-09-01,21.9,-1.0,-1.8369701987210297e-16,21.163440860215054,24.037749615975425,0.6599777164381718,2.5656042411675437,23.54516129032258
1994-10-01,23.54516129032258,-0.8660254037844386,0.5000000000000001,22.02365591397849,24.010599078341013,1.4636004432121454,2.56925099785912,25.096666666666668
1994-11-01,25.096666666666668,-0.5000000000000004,0.8660254037844384,23.513942652329746,23.938099078341015,1.5985619778297684,2.5208552839050897,26.41290322580645
1994-12-01,26.41290322580645,-2.4492935982947064e-16,1.0,25.018243727598563,23.958529185867892,1.4354785160921808,2.541477104732878,27.651612903225807
